,busA,busB,Zaa,Zbb,Zcc,Zab,Zac,Zbc,Baa,Bbb,Bcc,Bab,Bac,Bbc
line27,25,28,(0.007964911400000002+0.0007476449999999999j),(0.0079649114+0.0007476450000000001j),(0.0079649114+0.0007476450000000002j),(0.003518915800000001+3.987439999999995e-05j),(0.003518915800000001+3.987439999999995e-05j),(0.0035189158000000003+3.987440000000015e-05j),0j,0j,0j,0j,0j,0j
line28,26,29,(0.00021661113999999995+5.401637999999999e-06j),(0.00021661113999999995+5.401637999999999e-06j),(0.00021661113999999995+5.401637999999999e-06j),0j,0j,0j,0j,0j,0j,0j,0j,0j
line29,27,30,(0.0018975833333333336+0.00014313200000000005j),(0.0018975833333333332+0.000143132j),(0.0018975833333333327+0.000143132j),(2.710833333333337e-05+4.0172797485274114e-22j),(2.7108333333333363e-05+1.2051839245582234e-21j),(2.7108333333333353e-05-8.037695689691459e-22j),0j,0j,0j,0j,0j,0j
line30,27,31,(0.0018488166666666673+0.00013945360000000006j),(0.0018488166666666666+0.0001394536j),(0.0018488166666666662+0.00013945359999999998j),(2.6411666666666694e-05+0j),(2.6411666666666694e-05+7.626899992059054e-22j),(2.6411666666666683e-05+3.8149385298815844e-22j),0j,0j,0j,0j,0j,0j
line31,28,32,(0.0021203861999999998+0.0001990349999999999j),(0.0021203861999999993+0.00019903500000000002j),(0.0021203861999999993+0.0001990349999999999j),(0.0009367913999999999+1.0615200000000042e-05j),(0.0009367913999999997+1.0615200000000006e-05j),(0.0009367913999999998+1.0615200000000005e-05j),0j,0j,0j,0j,0j,0j
line32,29,33,(0.0005807713000000001+1.4482710000000004e-05j),(0.0005807713000000001+1.4482710000000004e-05j),(0.0005807713000000001+1.4482710000000004e-05j),0j,0j,0j,0j,0j,0j,0j,0j,0j
line33,30,34,(0.004345599999999999+0.00032778239999999996j),(0.004345599999999999+0.0003277823999999999j),(0.0043456+0.00032778239999999996j),(6.208000000000004e-05+5.267079410396127e-22j),(6.208000000000004e-05+1.580123823118838e-21j),(6.208000000000004e-05-5.269135350820681e-22j),0j,0j,0j,0j,0j,0j
line34,31,35,(6.261033333333332e-05+4.7226080000000005e-06j),(6.261033333333332e-05+4.722608e-06j),(6.26103333333333e-05+4.722607999999997e-06j),(8.944333333333342e-07+0j),(8.944333333333341e-07-1.3994982868181397e-23j),(8.944333333333338e-07-1.4000445639629813e-23j),0j,0j,0j,0j,0j,0j
line35,32,36,(0.006680916666666665+0.0005039319999999998j),(0.006680916666666666+0.0005039319999999999j),(0.0066809166666666675+0.0005039320000000002j),(9.544166666666673e-05-2.48984593334572e-21j),(9.544166666666675e-05+0j),(9.544166666666675e-05+2.4908178144408063e-21j),0j,0j,0j,0j,0j,0j
line36,32,37,(0.006411495600000001+0.0006018300000000002j),(0.006411495599999999+0.0006018299999999999j),(0.006411495599999999+0.0006018299999999997j),(0.0028326131999999995+3.20976000000001e-05j),(0.0028326132+3.20976000000001e-05j),(0.0028326131999999995+3.209760000000005e-05j),0j,0j,0j,0j,0j,0j
line37,33,38,(0.0005418255999999998+1.3511519999999999e-05j),(0.0005418255999999998+1.3511519999999999e-05j),(0.0005418255999999998+1.3511519999999999e-05j),0j,0j,0j,0j,0j,0j,0j,0j,0j
line38,35,39,(9.002233333333332e-05+6.7902560000000005e-06j),(9.002233333333332e-05+6.790255999999999e-06j),(9.00223333333333e-05+6.790255999999999e-06j),(1.2860333333333345e-06+4.3398241198864964e-23j),(1.286033333333334e-06+0j),(1.2860333333333343e-06-1.4471727058265102e-23j),0j,0j,0j,0j,0j,0j
line39,36,40,(0.0004667133333333334+3.5203520000000004e-05j),(0.0004667133333333333+3.520351999999999e-05j),(0.00046671333333333327+3.5203520000000004e-05j),(6.667333333333341e-06+0j),(6.66733333333334e-06+1.9441096877358126e-22j),(6.667333333333339e-06+9.724342736605244e-23j),0j,0j,0j,0j,0j,0j
line40,36,41,(0.0021073499999999996+0.00015895439999999997j),(0.00210735+0.00015895440000000002j),(0.0021073499999999996+0.00015895440000000002j),(3.0105000000000038e-05-4.954544164821113e-22j),(3.0105000000000024e-05+0j),(3.010500000000002e-05+0j),0j,0j,0j,0j,0j,0j
line41,37,42,(0.0044491515999999995+0.00041762999999999994j),(0.004449151599999999+0.0004176299999999995j),(0.0044491515999999995+0.0004176299999999997j),(0.0019656452+2.227359999999994e-05j),(0.0019656452+2.227359999999994e-05j),(0.0019656452+2.227359999999983e-05j),0j,0j,0j,0j,0j,0j
line42,37,43,(6.589199999999997e-05+1.546149999999999e-05j),(6.5892e-05+1.54615e-05j),(6.589199999999999e-05+1.54615e-05j),(2.991149999999999e-05+7.224999999999975e-07j),(2.9911499999999986e-05+7.224999999999975e-07j),(2.9911499999999996e-05+7.224999999999956e-07j),0j,0j,0j,0j,0j,0j
line43,38,44,(0.00013433686+3.349962e-06j),(0.00013433686+3.349962e-06j),(0.00013433686+3.349962e-06j),0j,0j,0j,0j,0j,0j,0j,0j,0j
line44,39,45,(0.00011544750000000004+8.708040000000005e-06j),(0.00011544749999999999+8.708039999999998e-06j),(0.00011544749999999998+8.708039999999998e-06j),(1.6492500000000023e-06+4.758273539960047e-23j),(1.6492500000000014e-06+2.3791367699800234e-23j),(1.6492500000000006e-06-7.140196311296693e-23j),0j,0j,0j,0j,0j,0j
line45,40,46,(0.00021036166666666661+1.586728e-05j),(0.00021036166666666667+1.5867279999999998e-05j),(0.0002103616666666666+1.5867279999999995e-05j),(3.0051666666666683e-06-3.949603999249897e-23j),(3.005166666666668e-06+0j),(3.0051666666666683e-06-3.9511456791621114e-23j),0j,0j,0j,0j,0j,0j
line46,41,47,(0.0050706833333333335+0.0003824744j),(0.005070683333333334+0.0003824744000000001j),(0.005070683333333332+0.00038247439999999986j),(7.243833333333339e-05-2.151417036300893e-21j),(7.243833333333337e-05+0j),(7.243833333333337e-05-2.1522568157897453e-21j),0j,0j,0j,0j,0j,0j
line47,42,48,(0.003362032199999999+0.00031558499999999974j),(0.0033620322+0.00031558499999999995j),(0.0033620322+0.000315585j),(0.0014853534000000006+1.683120000000002e-05j),(0.0014853534000000002+1.6831199999999996e-05j),(0.0014853534000000002+1.6831200000000067e-05j),0j,0j,0j,0j,0j,0j
line48,43,49,(3.172543999999999e-05+7.444346666666665e-06j),(3.1725439999999996e-05+7.444346666666664e-06j),(3.172543999999999e-05+7.444346666666662e-06j),(1.4401679999999992e-05+3.4786666666666504e-07j),(1.440167999999999e-05+3.4786666666666504e-07j),(1.4401679999999992e-05+3.478666666666643e-07j),0j,0j,0j,0j,0j,0j
line49,44,50,(0.00019097287999999998+4.762296e-06j),(0.00019097287999999998+4.762296e-06j),(0.00019097287999999998+4.762296e-06j),0j,0j,0j,0j,0j,0j,0j,0j,0j
line50,45,51,(0.00028116666666666665+2.1207999999999994e-05j),(0.00028116666666666665+2.1207999999999998e-05j),(0.00028116666666666665+2.1208000000000004e-05j),(4.01666666666667e-06+0j),(4.016666666666669e-06-3.527914218545389e-23j),(4.01666666666667e-06-7.058582593955e-23j),0j,0j,0j,0j,0j,0j
line51,46,52,(0.00022293833333333327+1.6815919999999994e-05j),(0.00022293833333333332+1.681592e-05j),(0.0002229383333333333+1.681592e-05j),(3.184833333333336e-06+4.435982743881582e-23j),(3.1848333333333355e-06+4.435982743881582e-23j),(3.184833333333336e-06+0j),0j,0j,0j,0j,0j,0j
line52,48,53,(0.0004847373199999997+4.550099999999997e-05j),(0.00048473731999999986+4.5501000000000004e-05j),(0.00048473731999999986+4.550099999999998e-05j),(0.00021415803999999986+2.4267200000000027e-06j),(0.00021415803999999986+2.4267199999999993e-06j),(0.0002141580399999999+2.426720000000005e-06j),0j,0j,0j,0j,0j,0j
line53,48,54,(0.0005109525099999999+4.796174999999998e-05j),(0.00051095251+4.796174999999999e-05j),(0.00051095251+4.796174999999999e-05j),(0.00022573997+2.5579599999999967e-06j),(0.00022573997+2.5579599999999967e-06j),(0.00022573997000000003+2.557959999999999e-06j),0j,0j,0j,0j,0j,0j
line54,49,55,(3.534000000000001e-05+8.292500000000002e-06j),(3.5340000000000004e-05+8.292499999999999e-06j),(3.5340000000000004e-05+8.2925e-06j),(1.6042499999999998e-05+3.8749999999999957e-07j),(1.60425e-05+3.874999999999989e-07j),(1.6042499999999998e-05+3.8749999999999925e-07j),0j,0j,0j,0j,0j,0j
line55,50,56,(0.00034802608000000004+8.678736000000002e-06j),(0.00034802608000000004+8.678736000000002e-06j),(0.00034802608000000004+8.678736000000002e-06j),0j,0j,0j,0j,0j,0j,0j,0j,0j
line56,51,57,(0.00024072999999999995+1.8157919999999996e-05j),(0.00024073000000000003+1.8157920000000002e-05j),(0.00024072999999999998+1.8157920000000002e-05j),(3.4390000000000034e-06-5.1722651410550657e-23j),(3.439000000000003e-06+0j),(3.439000000000003e-06-5.1742840718820874e-23j),0j,0j,0j,0j,0j,0j
line57,52,58,(0.00021233333333333325+1.6015999999999997e-05j),(0.00021233333333333328+1.6016e-05j),(0.0002123333333333333+1.6016000000000007e-05j),(3.0333333333333353e-06-4.023988243146552e-23j),(3.0333333333333353e-06-4.023988243146552e-23j),(3.0333333333333353e-06+4.025558958044203e-23j),0j,0j,0j,0j,0j,0j
line58,53,59,(0.0021957318999999993+0.00020610749999999987j),(0.0021957318999999997+0.00020610749999999992j),(0.0021957318999999997+0.00020610749999999998j),(0.0009700792999999997+1.0992399999999997e-05j),(0.0009700792999999999+1.0992400000000034e-05j),(0.0009700792999999998+1.0992400000000005e-05j),0j,0j,0j,0j,0j,0j
line59,54,60,(5.222903199999999e-05+4.902599999999999e-06j),(5.222903199999999e-05+4.9026e-06j),(5.2229031999999985e-05+4.902599999999999e-06j),(2.3074903999999996e-05+2.6147200000000124e-07j),(2.3074903999999992e-05+2.6147199999999955e-07j),(2.3074903999999992e-05+2.6147199999999987e-07j),0j,0j,0j,0j,0j,0j
line60,55,61,(3.0485119999999995e-05+7.153306666666668e-06j),(3.048511999999999e-05+7.153306666666667e-06j),(3.0485119999999995e-05+7.153306666666667e-06j),(1.3838639999999998e-05+3.342666666666689e-07j),(1.3838639999999998e-05+3.342666666666684e-07j),(1.3838639999999996e-05+3.3426666666666704e-07j),0j,0j,0j,0j,0j,0j
line61,56,62,(0.00030965999999999996+7.722e-06j),(0.00030965999999999996+7.722e-06j),(0.00030965999999999996+7.722e-06j),0j,0j,0j,0j,0j,0j,0j,0j,0j
line62,57,63,(0.0011539733333333331+8.704256000000001e-05j),(0.0011539733333333331+8.704256000000001e-05j),(0.001153973333333333+8.704255999999998e-05j),(1.6485333333333346e-05+4.457005414695056e-22j),(1.6485333333333346e-05-7.428342357825093e-22j),(1.648533333333335e-05-4.458745152582136e-22j),0j,0j,0j,0j,0j,0j
line63,58,64,(0.00012716666666666668+9.592e-06j),(0.00012716666666666665+9.591999999999999e-06j),(0.00012716666666666665+9.591999999999997e-06j),(1.8166666666666676e-06+0j),(1.8166666666666678e-06+8.660005612273435e-23j),(1.8166666666666673e-06+2.887795313399541e-23j),0j,0j,0j,0j,0j,0j
line64,59,65,(0.00044638532+4.1900999999999984e-05j),(0.00044638531999999996+4.190099999999998e-05j),(0.00044638531999999996+4.190099999999998e-05j),(0.00019721404000000006+2.2347199999999963e-06j),(0.00019721404000000006+2.2347200000000056e-06j),(0.00019721403999999998+2.234719999999999e-06j),0j,0j,0j,0j,0j,0j
line65,59,66,(0.009634683333333331+0.0007267303999999998j),(0.009634683333333333+0.0007267304j),(0.00963468333333333+0.0007267303999999999j),(0.0001376383333333335-1.2945393738377535e-21j),(0.00013763833333333344-1.2945393738377535e-21j),(0.00013763833333333347+2.590089363093455e-21j),0j,0j,0j,0j,0j,0j
line66,60,67,(5.9126e-05+5.550000000000001e-06j),(5.9126e-05+5.55e-06j),(5.9126e-05+5.550000000000001e-06j),(2.612200000000002e-05+2.960000000000004e-07j),(2.6122000000000012e-05+2.960000000000012e-07j),(2.612200000000001e-05+2.960000000000011e-07j),0j,0j,0j,0j,0j,0j
line67,61,68,(2.9196767999999984e-05+6.850995999999999e-06j),(2.919676799999999e-05+6.850995999999999e-06j),(2.9196767999999994e-05+6.850996e-06j),(1.3253795999999994e-05+3.2013999999999985e-07j),(1.3253795999999994e-05+3.2013999999999895e-07j),(1.3253795999999996e-05+3.2014000000000017e-07j),0j,0j,0j,0j,0j,0j
line68,62,69,(0.00033046677+8.240859e-06j),(0.00033046677+8.240859e-06j),(0.00033046677+8.240859e-06j),0j,0j,0j,0j,0j,0j,0j,0j,0j
line69,63,70,(0.004078900000000001+0.0003076656j),(0.004078900000000001+0.0003076656000000001j),(0.0040789+0.00030766560000000003j),(5.827000000000007e-05+9.280822816852552e-22j),(5.827000000000006e-05+9.280822816852552e-22j),(5.827000000000006e-05+0j),0j,0j,0j,0j,0j,0j
line70,64,71,(0.00024949166666666665+1.88188e-05j),(0.00024949166666666665+1.88188e-05j),(0.00024949166666666665+1.8818800000000004e-05j),(3.5641666666666697e-06-1.1111237536388423e-22j),(3.56416666666667e-06+1.1111237536388423e-22j),(3.5641666666666705e-06+5.55778733644978e-23j),0j,0j,0j,0j,0j,0j
line71,65,72,(0.0052738794+0.000495045j),(0.0052738794+0.0004950449999999998j),(0.0052738794+0.000495045j),(0.0023300117999999993+2.6402400000000017e-05j),(0.0023300117999999993+2.640240000000007e-05j),(0.0023300117999999997+2.6402400000000193e-05j),0j,0j,0j,0j,0j,0j
line72,66,73,(0.004709366666666667+0.00035522080000000006j),(0.004709366666666667+0.0003552208j),(0.004709366666666666+0.00035522079999999995j),(6.727666666666673e-05+1.855737890812624e-21j),(6.727666666666672e-05+0j),(6.727666666666669e-05-6.188207518470411e-22j),0j,0j,0j,0j,0j,0j
line73,66,74,(0.004709366666666667+0.00035522080000000006j),(0.004709366666666667+0.0003552208j),(0.004709366666666666+0.00035522079999999995j),(6.727666666666673e-05+1.855737890812624e-21j),(6.727666666666672e-05+0j),(6.727666666666669e-05-6.188207518470411e-22j),0j,0j,0j,0j,0j,0j
line74,67,75,(0.00014342848999999996+1.3463249999999993e-05j),(0.00014342849000000004+1.3463250000000009e-05j),(0.00014342849+1.3463250000000004e-05j),(6.336702999999998e-05+7.180400000000028e-07j),(6.336702999999998e-05+7.180400000000028e-07j),(6.336703000000001e-05+7.180400000000095e-07j),0j,0j,0j,0j,0j,0j
line75,68,76,(7.159504e-05+1.6799713333333333e-05j),(7.159503999999997e-05+1.6799713333333326e-05j),(7.159503999999997e-05+1.6799713333333326e-05j),(3.250037999999998e-05+7.850333333333287e-07j),(3.250037999999999e-05+7.850333333333329e-07j),(3.250037999999998e-05+7.850333333333318e-07j),0j,0j,0j,0j,0j,0j
line76,69,77,(0.0015446078999999998+3.851793e-05j),(0.0015446078999999998+3.851793e-05j),(0.0015446078999999998+3.851793e-05j),0j,0j,0j,0j,0j,0j,0j,0j,0j
line77,71,78,(0.001264433333333333+9.537439999999999e-05j),(0.001264433333333333+9.537440000000001e-05j),(0.0012644333333333333+9.537440000000001e-05j),(1.8063333333333347e-05+0j),(1.8063333333333344e-05+0j),(1.8063333333333347e-05+0j),0j,0j,0j,0j,0j,0j
line78,72,79,(0.0018383392+0.0001725599999999999j),(0.0018383392+0.00017255999999999993j),(0.0018383391999999999+0.00017255999999999993j),(0.0008121823999999999+9.203199999999941e-06j),(0.0008121823999999999+9.20319999999998e-06j),(0.0008121824+9.203199999999971e-06j),0j,0j,0j,0j,0j,0j
line79,75,80,(8.279238e-05+7.771499999999998e-06j),(8.279238e-05+7.7715e-06j),(8.279237999999999e-05+7.771499999999997e-06j),(3.657785999999999e-05+4.144799999999995e-07j),(3.657785999999999e-05+4.144799999999995e-07j),(3.657786e-05+4.1448000000000025e-07j),0j,0j,0j,0j,0j,0j
line80,76,81,(0.00022705759999999992+5.3278866666666635e-05j),(0.00022705759999999995+5.327886666666664e-05j),(0.00022705759999999998+5.3278866666666656e-05j),(0.00010307219999999996+2.489666666666647e-06j),(0.00010307219999999996+2.489666666666647e-06j),(0.00010307219999999999+2.489666666666654e-06j),0j,0j,0j,0j,0j,0j
line81,77,82,(0.0020281936+5.057712e-05j),(0.0020281936+5.057712e-05j),(0.0020281936+5.057712e-05j),0j,0j,0j,0j,0j,0j,0j,0j,0j
line82,78,83,(0.004764666666666667+0.000359392j),(0.004764666666666666+0.000359392j),(0.004764666666666665+0.00035939199999999994j),(6.806666666666673e-05+1.2663839899088084e-21j),(6.806666666666672e-05+0j),(6.80666666666667e-05-1.2668783075059043e-21j),0j,0j,0j,0j,0j,0j
line83,79,84,(0.00040118589000000005+3.765824999999997e-05j),(0.00040118588999999994+3.765824999999998e-05j),(0.00040118588999999994+3.765824999999998e-05j),(0.00017724482999999998+2.0084399999999885e-06j),(0.00017724482999999998+2.0084399999999936e-06j),(0.00017724482999999992+2.008439999999998e-06j),0j,0j,0j,0j,0j,0j
line84,80,85,(8.886478e-05+8.341499999999998e-06j),(8.886478000000001e-05+8.341499999999998e-06j),(8.886478e-05+8.341499999999996e-06j),(3.926066000000001e-05+4.448800000000017e-07j),(3.926066e-05+4.448799999999988e-07j),(3.926066e-05+4.448799999999979e-07j),0j,0j,0j,0j,0j,0j
line85,81,86,(0.0004373951999999999+0.00010263440000000002j),(0.00043739519999999994+0.00010263440000000002j),(0.00043739519999999994+0.00010263440000000001j),(0.0001985543999999999+4.796000000000014e-06j),(0.0001985543999999999+4.79600000000004e-06j),(0.0001985543999999999+4.796000000000021e-06j),0j,0j,0j,0j,0j,0j
line86,82,87,(0.0012324864999999996+3.073454999999999e-05j),(0.0012324864999999996+3.073454999999999e-05j),(0.0012324864999999996+3.073454999999999e-05j),0j,0j,0j,0j,0j,0j,0j,0j,0j
line87,84,88,(0.0008135417999999999+7.636500000000003e-05j),(0.0008135417999999996+7.636499999999999e-05j),(0.0008135417999999998+7.6365e-05j),(0.00035942459999999983+4.072800000000017e-06j),(0.0003594245999999999+4.072800000000017e-06j),(0.00035942459999999994+4.072800000000021e-06j),0j,0j,0j,0j,0j,0j
line88,85,89,(8.37352e-05+7.859999999999998e-06j),(8.373519999999997e-05+7.859999999999993e-06j),(8.37352e-05+7.859999999999998e-06j),(3.699439999999997e-05+4.19199999999998e-07j),(3.6994399999999986e-05+4.191999999999997e-07j),(3.699439999999998e-05+4.191999999999988e-07j),0j,0j,0j,0j,0j,0j
line89,86,90,(0.00010412303999999994+2.4432379999999995e-05j),(0.00010412303999999995+2.443238e-05j),(0.00010412303999999998+2.4432380000000005e-05j),(4.7266379999999984e-05+1.1417000000000013e-06j),(4.7266379999999984e-05+1.1416999999999985e-06j),(4.7266379999999984e-05+1.1417000000000009e-06j),0j,0j,0j,0j,0j,0j
line90,87,91,(0.0004448782000000001+1.1093940000000003e-05j),(0.0004448782000000001+1.1093940000000003e-05j),(0.0004448782000000001+1.1093940000000003e-05j),0j,0j,0j,0j,0j,0j,0j,0j,0j
line91,88,92,(0.00076720779+7.201574999999998e-05j),(0.0007672077899999996+7.201574999999994e-05j),(0.0007672077899999998+7.201574999999997e-05j),(0.0003389541299999998+3.840839999999981e-06j),(0.00033895412999999984+3.840839999999972e-06j),(0.00033895412999999984+3.84083999999998e-06j),0j,0j,0j,0j,0j,0j
line92,90,93,(1.9853327999999995e-05+4.658566000000001e-06j),(1.985332799999999e-05+4.658566e-06j),(1.9853327999999995e-05+4.658565999999999e-06j),(9.012365999999994e-06+2.1768999999999972e-07j),(9.012365999999994e-06+2.176899999999993e-07j),(9.012365999999996e-06+2.1768999999999922e-07j),0j,0j,0j,0j,0j,0j
line93,91,94,(0.00013809645+3.443715000000001e-06j),(0.00013809645+3.443715000000001e-06j),(0.00013809645+3.443715000000001e-06j),0j,0j,0j,0j,0j,0j,0j,0j,0j
